,,,,,,,,,,,,,,,,,,,,,,,
item_ff_flare_wand,"Wand of Magic Fire",,,,,,,,,,,,,,,,,,,,,,
item_ff_gurbert,"Gurbert",,,,,,,,,,,,,,,,,,,,,,
itemdesc_ff_gurbert,"A friend.",,,,,,,,,,,,,,,,,,,,,,
item_ff_taq_pol,"Taq Pol",,,,,,,,,,,,,,,,,,,,,,
itemdesc_ff_taq_pol,"If this comes into contact with a spell, it will be transformed into a duplicate of it.",,,,,,,,,,,,,,,,,,,,,,
item_ff_lighter,"Lighter",,,,,,,,,,,,,,,,,,,,,,
itemdesc_ff_lighter,"Right click to open. Be careful!",,,,,,,,,,,,,,,,,,,,,,
item_ff_willows_lighter,"Fool's Lighter",,,,,,,,,,,,,,,,,,,,,,
itemdesc_ff_willows_lighter,"Right click to open.",,,,,,,,,,,,,,,,,,,,,,
item_ff_sword,"Fire Twig",,,,,,,,,,,,,,,,,,,,,,
itemdesc_ff_sword,"A sword of sorts?",,,,,,,,,,,,,,,,,,,,,,
item_ff_heart_lighter,"Heart Lighter",,,,,,,,,,,,,,,,,,,,,,
itemdesc_ff_heart_lighter,"Right click to open. Heals you...",,,,,,,,,,,,,,,,,,,,,,
item_ff_bounty_tablet,"Volume Tablet - emerald III",,,,,,,,,,,,,,,,,,,,,,
itemdesc_ff_bounty_tablet,"THROUGH ME THE WAY INTO THE SUFFERING CITY, \nTHROUGH ME THE WAY TO THE ETERNAL PAIN, \nTHROUGH ME THE WAY THAT RUNS AMONG THE LOST. \nJUSTICE URGED ON MY HIGH ARTIFICER; \nMY MAKER WAS DIVINE AUTHORITY, \nTHE HIGHEST WISDOM, AND THE PRIMAL LOVE. \nBEFORE ME NOTHING BUT ETERNAL THINGS \nWERE MADE, AND I ENDURE ETERNALLY. \nABANDON ALL HOPE, YE WHO ENTER HERE.",,,,,,,,,,,,,,,,,,,,,,
